"lemma","word","kjv_def","strongs_def","derivation"
"H3585","כַּחַשׁ","leanness, lies, lying.","literally a failure of flesh, i.e. emaciation; figuratively, hypocrisy","from H3584 (כָּחַשׁ);"
"H3586","כֶּחָשׁ","lying.","faithless","from H3584 (כָּחַשׁ);"
"H3587","כִּי","burning.","a brand or scar","from H3554 (כָּוָה);"
"H3588","כִּי","and, + (forasmuch, inasmuch, where-) as, assured(-ly), + but, certainly, doubtless, + else, even, + except, for, how, (because, in, so, than) that, + nevertheless, now, rightly, seeing, since, surely, then, therefore, + (al-) though, + till, truly, + until, when, whether, while, whom, yea, yet.","(by implication) very widely used as a relative conjunction or adverb (as below); often largely modified by other particles annexed","a primitive particle (the full form of the prepositional prefix) indicating causal relations of all kinds, antecedent or consequent;"
"H3589","כִּיד","destruction.","a crushing; figuratively, calamity","from a primitive root meaning to strike;"
"H3590","כִידוֹד","spark.","properly, something struck off, i.e. a spark (as struck)","from the same as H3589 (כִּיד) (compare H3539 (כַּדְכֹּד));"
"H3591","כִּידוֹן","lance, shield, spear, target.","properly, something to strike with, i.e. a dart","from the same as H3589 (כִּיד); (perhaps smaller than H2595 (חֲנִית)lemma חֲניִת second vowel, corrected to חֲנִית)"
"H3592","כִּידוֹן","Chidon.","Kidon, a place in Palestine","the same as H3591 (כִּידוֹן);"
"H3593","כִּידוֹר","battle.","perhaps tumult","of uncertain derivation;"
"H3594","כִּיּוּן","Chiun.","properly, a statue, i.e. idol; but used (by euphemism) forsome heathen deity (perhaps corresponding to Priapus or Baal-peor)","from H3559 (כּוּן);"
"H3595","כִּיּוֹר","hearth, laver, pan, scaffold.","properly, something round (as excavated or bored), i.e. a chafing-dish forcoals or a caldron forcooking; hence (from similarity of form) a washbowl; also (for the same reason) a pulpit or platform","or כִּיֹּר; from the same as H3564 (כּוּר);"
"H3596","כִּילַי","churl.","niggardly","or כֵּלַי; from H3557 (כּוּל) in the sense of withholding;"
"H3597","כֵּילַף","hammer.","a club or sledge-hammer","from an unused root meaning to clap or strike with noise;"
"H3598","כִּימָה","Pleiades, seven stars.","a cluster of stars, i.e. the Pleiades","from the same as H3558 (כּוּמָז);"
"H3599","כִּיס","bag, cup, purse.","a cup; also a bag formoney or weights","a form for H3563 (כּוֹס);"
"H3600","כִּיר","ranges for pots.","a cooking range (consisting of two parallel stones, across which the boiler is set)","a form for H3564 (כּוּר) (only in the dual);"
"H3601","כִּישׁוֹר","spindle.","literally a director, i.e. the spindle or shank of adistaff, by which it is twirled","from H3787 (כָּשֵׁר); compare H6418 (פֶּלֶךְ)"
"H3602","כָּכָה","after that (this) manner, this matter, (even) so, in such a case, thus.","just so, referring to the previous or following context","from H3541 (כֹּה);"
"H3603","כִּכָּר","loaf, morsel, piece, plain, talent.","a circle, i.e. (by implication) a circumjacent tract or region, especially the Ghor or valley of the Jordan; also a (round) loaf; also a talent (or large [round] coin)","from H3769 (כָּרַר);"
"H3604","כִּכֵּר","talent.","a talent","(Aramaic) corresponding to H3603 (כִּכָּר);"
"H3605","כֹּל","(in) all (manner, (ye)), altogether, any (manner), enough, every (one, place, thing), howsoever, as many as, (no-) thing, ought, whatsoever, (the) whole, whoso(-ever).","properly, the whole; hence, all, any or every (in the singular only, but often in a plural sense)","or (Jeremiah 33:8) כּוֹל; from H3634 (כָּלַל);"
"H3606","כֹּל","all, any, + (forasmuch) as, + be-(for this) cause, every, + no (manner, -ne), + there (where) -fore, + though, what (where, who) -soever, (the) whole.","{properly, the whole; hence, all, any or every (in the singular only, but often in a plural sense)}","(Aramaic) corresponding to H3605 (כֹּל)"
"H3607","כָּלָא","finish, forbid, keep (back), refrain, restrain, retain, shut up, be stayed, withhold.","to restrict, by act (hold back or in) or word (prohibit)","a primitive root;"
"H3608","כֶּלֶא","prison. Compare H3610 (כִּלְאַיִם), H3628 (כְּלִיא).","a prison","from H3607 (כָּלָא);"
"H3609","כִּלְאָב","Chileab.","Kilab, an Israelite","apparently from H3607 (כָּלָא) and H1 (אָב); restraint of (his) father;"
"H3610","כִּלְאַיִם","divers seeds (-e kinds), mingled (seed).","two heterogeneities","dual of H3608 (כֶּלֶא) in the original sense of separation;"
"H3611","כֶּלֶב","dog.","a dog; hence (by euphemism) a male prostitute","from an unused root means. to yelp, or else to attack;"
"H3612","כָּלֵב","Caleb.","Caleb, the name of three Israelites","perhaps a form of H3611 (כֶּלֶב), or else from the same root in the sense of forcible;"
"H3613","כָּלֵב אֶפְרָתָה","Caleb-ephrathah.","Caleb-Ephrathah, a place in Egypt (if the text is correct)","from H3612 (כָּלֵב) and H672 (אֶפְרָת);"
"H3614","כָּלִבּוֹ","of the house of Caleb.","a Calebite or descendant of Caleb","probably by erroneous transcription for כָּלֵבִי; patronymically from H3612 (כָּלֵב);"
"H3615","כָּלָה","accomplish, cease, consume (away), determine, destroy (utterly), be (when... were) done, (be an) end (of), expire, (cause to) fail, faint, finish, fulfil, [idiom] fully, [idiom] have, leave (off), long, bring to pass, wholly reap, make clean riddance, spend, quite take away, waste.","to end, whether intransitive (to cease, be finished, perish) or transitived (to complete, prepare, consume)","a primitive root;"
"H3616","כָּלֶה","fail.","pining","from H3615 (כָּלָה);"
"H3617","כָּלָה","altogether, (be, utterly) consume(-d), consummation(-ption), was determined, (full, utter) end, riddance.","a completion; adverb, completely; also destruction","from H3615 (כָּלָה);"
"H3618","כַּלָּה","bride, daughter-in-law, spouse.","a bride (as if perfect); hence, a son's wife","from H3634 (כָּלַל);"
"H3619","כְּלוּב","basket, cage.","a bird-trap (as furnished with a clap-stick or treadle to spring it); hence, a basket (as resembling a wicker cage)","from the same as H3611 (כֶּלֶב);"
"H3620","כְּלוּב","Chelub.","Kelub, the name of two Israelites","the same as H3619 (כְּלוּב)xlit kᵉlûb corrected to kᵉlûwb;"
"H3621","כְּלוּבַי","Chelubai.","Kelubai, an Israelite","a form of H3612 (כָּלֵב);"
"H3622","כְּלוּהַי","Chelluh.","Keluhai, an Israelite","from H3615 (כָּלָה); completed;"
"H3623","כְּלוּלָה","espousal.","bridehood (only in the plural)","denominative passive participle from H3618 (כַּלָּה)lemma כַּלָה missing dagesh, corrected to כַּלָּה;"
"H3624","כֶּלַח","full (old) age.","maturity","from an unused root meaning to be complete;"
"H3625","כֶּלַח","Calah.","Kelach, a place in Assyria","the same as H3624 (כֶּלַח);"
"H3626","כׇּל־חֹזֶה","Col-hozeh.","Col-Chozeh, an Israelite","from H3605 (כֹּל) and H2374 (חֹזֶה); every seer;"
"H3627","כְּלִי","armour(-bearer), artillery, bag, carriage, [phrase] furnish, furniture, instrument, jewel, that is made of, [idiom] one from another, that which pertaineth, pot, [phrase] psaltery, sack, stuff, thing, tool, vessel, ware, weapon, [phrase] whatsoever.","something prepared, i.e. any apparatus (as an implement, utensil, dress, vessel or weapon)","from H3615 (כָּלָה);"
"H3628","כְּלִיא","prison.","a prison","or כְּלוּא; from H3627 (כְּלִי) (compare H3608 (כֶּלֶא));"
"H3629","כִּלְיָה","kidneys, reins.","a kidney (as an essential organ); figuratively, the mind (as the interior self)","feminine of H3627 (כְּלִי) (only in the plural);"
"H3630","כִּלְיוֹן","Chilion.","Kiljon, an Israelite","a form of H3631 (כִּלָּיוֹן);"
"H3631","כִּלָּיוֹן","consumption, failing.","pining, destruction","from H3615 (כָּלָה);"
"H3632","כָּלִיל","all, every whit, flame, perfect(-ion), utterly, whole burnt offering (sacrifice), wholly.","complete; as noun, the whole (specifically, a sacrifice entirely consumed); as adverb, fully","from H3634 (כָּלַל);"
"H3633","כַּלְכֹּל","Calcol, Chalcol.","Calcol, an Israelite","from H3557 (כּוּל); sustenance;"
"H3634","כָּלַל","(make) perfect.","to complete","a primitive root;"
"H3635","כְּלַל","finish, make (set) up.","to complete","(Aramaic) corresponding to H3634 (כָּלַל);"
"H3636","כְּלָל","Chelal.","Kelal, an Israelite","from H3634 (כָּלַל); complete;"
"H3637","כָּלַם","be (make) ashamed, blush, be confounded, be put to confusion, hurt, reproach, (do, put to) shame.","properly, to wound; but only figuratively, to taunt or insult","a primitive root;"
"H3638","כִּלְמָד","Chilmad.","Kilmad, a place apparently in the Assyrian empire","of foreign derivation;"
"H3639","כְּלִמָּה","confusion, dishonour, reproach, shame.","disgrace","from H3637 (כָּלַם);"
"H3640","כְּלִמּוּת","shame.","disgrace","from H3639 (כְּלִמָּה);"
"H3641","כַּלְנֶה","Calneh, Calno. Compare H3656 (כַּנֶּה).","Calneh or Calno, a place in the Assyrian empire","or כַּלְנֵה; also כַּלְנוֹ; of foreign derivation;"
"H3642","כָּמַהּ","long.","to pine after","a primitive root;"
"H3643","כִּמְהָם","Chimham.","Kimham, an Israelite","from H3642 (כָּמַהּ); pining;"
"H3644","כְּמוֹ","according to, (such) as (it were, well as), in comparison of, like (as, to, unto), thus, when, worth.","a form of the prefix 'k-', but used separately  as, thus, so","or כָּמוֹ; (compare H3651 (כֵּן));"
"H3645","כְּמוֹשׁ","Chemosh.","Kemosh, the god of the Moabites","or (Jeremiah 48:7) כְּמִישׁ; from an unused root meaning to subdue; the powerful;"
"H3646","כַּמֹּן","cummin.","'cummin' (from its use as a condiment)","from an unused root meaning to store up or preserve;"
"H3647","כָּמַס","lay up in store.","to store away, i.e. (figuratively) in the memory","a primitive root;"
"H3648","כָּמַר","be black, be kindled, yearn.","properly, to intertwine or contract, i.e. (by implication) to shrivel (as with heat); figuratively, to be deeply affected with passion (love or pity)","a primitive root;"
"H3649","כָּמָר","Chemarims (idolatrous) priests.","properly, an ascetic (as if shrunk with self-maceration), i.e. an idolatrous priest (only in plural)","from H3648 (כָּמַר);"
"H3650","כִּמְרִיר","blackness.","obscuration (as if from shrinkage of light, i.e. an eclipse (only in plural)","redupl. from H3648 (כָּמַר);"
"H3651","כֵּן","[phrase] after that (this, -ward, -wards), as... as, [phrase] (for-) asmuch as yet, [phrase] be (for which) cause, [phrase] following, howbeit, in (the) like (manner, -wise), [idiom] the more, right, (even) so, state, straightway, such (thing), surely, [phrase] there (where) -fore, this, thus, true, well, [idiom] you.","properly, set upright; hence (figuratively as adjective) just; but usually (as adverb or conjunction) rightly or so (in various applications to manner, time and relation; often with other particles)","from H3559 (כּוּן);"
"H3652","כֵּן","thus.","so","(Aramaic) corresponding to H3651 (כֵּן);"
"H3653","כֵּן","base, estate, foot, office, place, well.","a stand, i.e. pedestal or station","the same as H3651 (כֵּן), used as a noun;"
"H3654","כֵּן","lice, [idiom] manner.","a gnat","from H3661 (כָּנַן) in the sense of fastening; (from infixing its sting; used only in plural (and irregular in Exodus 8:17,18; Hebrews 13:14))"
"H3655","כָּנָה","give flattering titles, surname (himself).","to address by an additional name; hence, to eulogize","a primitive root;"
"H3656","כַּנֶּה","Canneh.","Canneh, a place in Assyria","for H3641 (כַּלְנֶה);"
"H3657","כַּנָּה","[idiom] vineyard.","a plant (as set)","from H3661 (כָּנַן);"
"H3658","כִּנּוֹר","harp.","a harp","from a unused root meaning to twang;"
"H3659","כׇּנְיָהוּ","Coniah.","Conjah, an Israelite king","for H3204 (יְכׇנְיָה);"
"H3660","כְּנֵמָא","so, (in) this manner (sort), thus.","so or thus","(Aramaic) corresponding to H3644 (כְּמוֹ);"
"H3661","כָּנַן","[idiom] vineyard.","to set out, i.e. plant","a primitive root;"
"H3662","כְּנָנִי","Chenani.","Kenani, an Israelite","from H3661 (כָּנַן); planted;"
"H3663","כְּנַנְיָה","Chenaniah.","Kenanjah, an Israelite","or כְּנַנְיָהוּ; from H3661 (כָּנַן) and H3050 (יָהּ); Jah has planted;"
"H3664","כָּנַס","gather (together), heap up, wrap self.","to collect; hence, to enfold","a primitive root;"
"H3665","כָּנַע","bring down (low), into subjection, under, humble (self), subdue.","properly, to bend the knee; hence, to humiliate, vanquish","a primitive root;"
"H3666","כִּנְעָה","wares.","a package","from H3665 (כָּנַע) in the sense of folding (compare H3664 (כָּנַס));"
"H3667","כְּנַעַן","Canaan, merchant, traffick.","Kenaan, a son a Ham; also the country inhabited by him","from H3665 (כָּנַע); humiliated;"
"H3668","כְּנַעֲנָה","Chenaanah.","Kenaanah, the name of two Israelites","feminine of H3667 (כְּנַעַן);"
"H3669","כְּנַעַנִי","Canaanite, merchant, trafficker.","a Kenaanite or inhabitant of Kenaan; by implication, a pedlar (the Canaanites standing for their neighbors the Ishmaelites, who conducted mercantile caravans)","patrial from H3667 (כְּנַעַן);"
"H3670","כָּנַף","be removed.","properly, to project laterally, i.e. probably (reflexive) to withdraw","a primitive root;"
"H3671","כָּנָף","[phrase] bird, border, corner, end, feather(-ed), [idiom] flying, [phrase] (one an-) other, overspreading, [idiom] quarters, skirt, [idiom] sort, uttermost part, wing(-ed).","an edge or extremity; specifically (of a bird or army) a wing, (of a garment or bedclothing) a flap, (of the earth) a quarter, (of a building) a pinnacle","from H3670 (כָּנַף);"
"H3672","כִּנְּרוֹת","Chinnereth, Chinneroth, Cinneroth.","Kinneroth or Kinnereth, a place in Palestine","or כִּנֶּרֶתlemma כִּנֶרֶת missing dagesh, corrected to כִּנֶּרֶת; respectively plural and singular feminine from the same as H3658 (כִּנּוֹר); perhaps harp-shaped;"
"H3673","כָּנַשׁ","gather together.","to assemble","(Aramaic) corresponding to H3664 (כָּנַס);"
"H3674","כְּנָת","companion.","a colleague (as having the same title)","from H3655 (כָּנָה);"
"H3675","כְּנָת","companion.","{a colleague (as having the same title)}","(Aramaic) corresponding to H3674 (כְּנָת)"
"H3676","כֵּס","sworn.","{a flag; also a sail; by implication, a flagstaff; generally a signal; figuratively, a token}","apparently a contraction for H3678 (כִּסֵּא), but probably by erroneous transcription for H5251 (נֵס)"
"H3677","כֶּסֶא","(time) appointed.","properly, fulness or the full moon, i.e. its festival","or כֶּסֶה; apparently from H3680 (כָּסָה);"
"H3678","כִּסֵּא","seat, stool, throne.","properly, covered, i.e. a throne (as canopied)","or כִּסֵּה; from H3680 (כָּסָה);"
"H3679","כַּסְדַּי","Chaldean.","{a Kasdite, or descendant of Kesed; by implication, a Chaldaean (as if so descended); also an astrologer (as if proverbial of that people}","for H3778 (כַּשְׂדִּי)"
"H3680","כָּסָה","clad self, close, clothe, conceal, cover (self), (flee to) hide, overwhelm. Compare H3780 (כָּשָׂה).","properly, to plump, i.e. fill up hollows; by implication, to cover (for clothing or secrecy)","a primitive root;"
"H3681","כָּסוּי","covering.","properly, covered, i.e. (as noun) a covering","passive participle of H3680 (כָּסָה);"
"H3682","כְּסוּת","covering, raiment, vesture.","a cover (garment); figuratively, a veiling","from H3680 (כָּסָה);"
"H3683","כָּסַח","cut down (up).","to cut off","a primitive root;"
"H3684","כְּסִיל","fool(-ish).","properly, fat, i.e. (figuratively) stupid or silly","from H3688 (כָּסַל);"
"H3685","כְּסִיל","constellation, Orion.","any notable constellation; specifically Orion (as if a burly one)","the same as H3684 (כְּסִיל);"
"H3686","כְּסִיל","Chesil.","Kesil, a place in Palestine","the same as H3684 (כְּסִיל);"
"H3687","כְּסִילוּת","foolish.","silliness","from H3684 (כְּסִיל);"
"H3688","כָּסַל","be foolish.","properly, to be fat, i.e. (figuratively) silly","a primitive root;"
"H3689","כֶּסֶל","confidence, flank, folly, hope, loin.","properly, fatness, i.e. by implication (literally) the loin (as the seat of the leaf fat) or (generally) the viscera; also (figuratively) silliness or (in a good sense) trust","from H3688 (כָּסַל);"
"H3690","כִּסְלָה","confidence, folly.","in a good sense, trust; in a bad one, silliness","feminine of H3689 (כֶּסֶל);"
"H3691","כִּסְלֵו","Chisleu.","Kisleu, the 9th Hebrew month","probably of foreign origin;"
"H3692","כִּסְלוֹן","Chislon.","Kislon, an Israelite","from H3688 (כָּסַל); hopeful;"
"H3693","כְּסָלוֹן","Chesalon.","Kesalon, a place in Palestine","from H3688 (כָּסַל); fertile;"
"H3694","כְּסֻלּוֹת","Chesulloth.","Kesulloth, a place in Palestine","feminine plural of passive participle of H3688 (כָּסַל); fattened;"
"H3695","כַּסְלֻחִים","Casluhim.","Casluchim, a people cognate to the Egyptians","a plural probably of foreign derivation;"
"H3696","כִּסְלֹת תָּבֹר","Chisloth-tabor.","Kisloth-Tabor, a place in Palestine","from the feminine plural of H3689 (כֶּסֶל) and H8396 (תָּבוֹר); flanks of Tabor;"
"H3697","כָּסַם","[idiom] only, poll. Compare H3765 (כִּרְסֵם).","to shear","a primitive root;"
"H3698","כֻּסֶּמֶת","fitches, rie.","spelt (from its bristliness as if just shorn)","from H3697 (כָּסַם);"
"H3699","כָּסַס","make count.","to estimate","a primitive root;"
"H3700","כָּסַף","(have) desire, be greedy, long, sore.","properly, to become pale, i.e. (by implication) to pine after; also to fear","a primitive root;"
"H3701","כֶּסֶף","money, price, silver(-ling).","silver (from its pale color); by implication, money","from H3700 (כָּסַף);"
"H3702","כְּסַף","money, silver.","{silver (from its pale color); by implication, money}","(Aramaic) corresponding to H3701 (כֶּסֶף)"
"H3703","כָּסִפְיָא","Casiphia.","Casiphja, a place in Babylon","perhaps from H3701 (כֶּסֶף); silvery;"
"H3704","כֶּסֶת","pillow.","a cushion or pillow (as covering a seat or bed)","from H3680 (כָּסָה);"
"H3705","כְּעַן","now.","now","(Aramaic) probably from H3652 (כֵּן);"
"H3706","כְּעֶנֶת","at such a time.","thus (only in the formula 'and so forth')","(Aramaic) or כְּעֶת; (Aramaic), feminine of H3705 (כְּעַן);"
"H3707","כַּעַס","be angry, be grieved, take indignation, provoke (to anger, unto wrath), have sorrow, vex, be wroth.","to trouble; by implication, to grieve, rage, be indignant","a primitive root;"
"H3708","כַּעַס","anger, angry, grief, indignation, provocation, provoking, [idiom] sore, sorrow, spite, wrath.","vexation","or (in Job) כַּעַשׂ; from H3707 (כַּעַס);"
"H3709","כַּף","branch, [phrase] foot, hand((-ful), -dle, (-led)), hollow, middle, palm, paw, power, sole, spoon.","the hollow hand or palm (so of the paw of an animal, of the sole, and even of the bowl of a dish or sling, the handle of a bolt, the leaves of a palm-tree); figuratively, power","from H3721 (כָּפַף);"
"H3710","כֵּף","rock.","a hollow rock","from H3721 (כָּפַף);"
"H3711","כָּפָה","pacify.","properly, to bend, i.e. (figuratively) to tame or subdue","a primitive root;"
"H3712","כִּפָּה","branch.","a leaf of a palmtree","feminine of H3709 (כַּף);"
"H3713","כְּפוֹר","bason, hoar(-y) frost.","properly, a cover, i.e. (by implication) a tankard (or covered goblet); also white frost (as covering the ground)","from H3722 (כָּפַר);"
"H3714","כָּפִיס","beam.","a girder","from an unused root meaning to connect;"
"H3715","כְּפִיר","(young) lion, village. Compare H3723 (כָּפָר).","a village (as covered in by walls); also a young lion (perhaps as covered with a mane)","from H3722 (כָּפַר);"
"H3716","כְּפִירָה","Chephirah.","Kephirah, a place in Palestine","feminine of H3715 (כְּפִיר); the village (always with the art.);"
"H3717","כָּפַל","double.","to fold together; figuratively, to repeat","a primitive root;"
"H3718","כֶּפֶל","double.","a duplicate","from H3717 (כָּפַל);"
"H3719","כָּפַן","bend.","to bend","a primitive root;"
"H3720","כָּפָן","famine.","hunger (as making to stoop with emptiness and pain)","from H3719 (כָּפַן);"
"H3721","כָּפַף","bow down (self).","to curve","a primitive root;"
"H3722","כָּפַר","appease, make (an atonement, cleanse, disannul, forgive, be merciful, pacify, pardon, purge (away), put off, (make) reconcile(-liation).","to cover (specifically with bitumen); figuratively, to expiate or condone, to placate or cancel","a primitive root;"
"H3723","כָּפָר","village. Compare H3715 (כְּפִיר).","a village (as protected by walls)","from H3722 (כָּפַר);"
"H3724","כֹּפֶר","bribe, camphire, pitch, ransom, satisfaction, sum of money, village.","properly, a cover, i.e. (literally) a village (as covered in); (specifically) bitumen (as used for coating), and the henna plant (as used for dyeing); figuratively, a redemption-price","from H3722 (כָּפַר);"
"H3725","כִּפֻּר","atonement.","expiation (only in plural)","from H3722 (כָּפַר);"
"H3726","כְּפַר הָעַמּוֹנִי","Chefarhaamonai.","Kefar-ha-Ammoni, a place in Palestine","from H3723 (כָּפָר) and H5984 (עַמּוֹנִי), with the article interposed; village of the Ammonite;"
"H3727","כַּפֹּרֶת","mercy seat.","a lid (used only of the cover of the sacred Ark)","from H3722 (כָּפַר);"
"H3728","כָּפַשׁ","cover.","to tread down; figuratively, to humiliate","a primitive root;"
"H3729","כְּפַת","bind.","to fetter","(Aramaic) a root of uncertain correspondence;"
"H3730","כַּפְתֹּר","knop, (upper) lintel.","a chaplet; but used only in an architectonic sense, i.e. the capital of acolumn, or a wreath-like button or disk on the candelabrum","or (Amos 9:1) כַּפְתּוֹר; probably from an unused root meaning to encircle;"
"H3731","כַּפְתֹּר","Caphtor.","Caphtor (i.e. a wreath-shaped island), the original seat of the Philistines","or (Amos 9:7) כַּפְתּוֹר; apparently the same as H3730 (כַּפְתֹּר);"
"H3732","כַּפְתֹּרִי","Caphthorim, Caphtorim(-s).","a Caphtorite (collectively) or native of Caphtor","patrial from H3731 (כַּפְתֹּר);"
"H3733","כַּר","captain, furniture, lamb, (large) pasture, ram. See also H1033 (בֵּית כַּר), H3746 (כָּרִי).","a ram (as full-grown and fat), including a battering-ram (as butting); hence, a meadow (as for sheep); also a pad or camel's saddle (as puffed out)","from H3769 (כָּרַר) in the sense of plumpness;"
"H3734","כֹּר","cor, measure. Aramaic the same.","properly, a deep round vessel, i.e. (specifically) a cor or measure for things dry","from the same as H3564 (כּוּר);"
"H3735","כָּרָא","be grieved.","to grieve","(Aramaic) probably corresponding to H3738 (כָּרָה) in the sense of piercing(figuratively);"
"H3736","כַּרְבֵּל","clothed.","to gird or clothe","from the same as H3525 (כֶּבֶל);"
"H3737","כַּרְבְּלָא","hat.","a mantle","(Aramaic) from a verb corresponding to that of H3736 (כַּרְבֵּל);"
"H3738","כָּרָה","dig, [idiom] make (a banquet), open.","properly, to dig; figuratively, to plot; generally, to bore or open","a primitive root;"
"H3739","כָּרָה","buy, prepare.","to purchase","usually assigned as a primitive root, but probably only a special application of H3738 (כָּרָה) (through the common idea of planning implied in a bargain);"
"H3740","כֵּרָה","provision.","a purchase","from H3739 (כָּרָה);"
"H3741","כָּרָה","cottage.","a meadow","feminine of H3733 (כַּר);"
"H3742","כְּרוּב","cherub, (plural) cherubims.","a cherub or imaginary figure","of uncertain derivation;"
"H3743","כְּרוּב","Cherub.","Kerub, a place in Babylon","the same as H3742 (כְּרוּב);"
"H3744","כָּרוֹז","herald.","a herald","(Aramaic) from H3745 (כְּרַז);"
"H3745","כְּרַז","make a proclamation.","to proclaim","(Aramaic) probably of Greek origin;"
"H3746","כָּרִי","captains, Cherethites (from the margin).","a life-guardsman","perhaps an abridged plural of H3733 (כַּר) in the sense of leader (of the flock);"
"H3747","כְּרִית","Cherith.","Kerith, a brook of Palestine","from H3772 (כָּרַת); a cut;"
"H3748","כְּרִיתוּת","divorce(-ment).","a cutting (of the matrimonial bond), i.e. divorce","from H3772 (כָּרַת);"
"H3749","כַּרְכֹּב","compass.","a rim or top margin","expanded from the same as H3522 (כַּבּוֹן);"
"H3750","כַּרְכֹּם","saffron.","the crocus","probably of foreign origin;"
"H3751","כַּרְכְּמִישׁ","Carchemish.","Karkemish, a place in Syria","of foreign derivation;"
"H3752","כַּרְכַּס","Carcas.","Karkas, a eunuch of Xerxes","of Persian origin;"
"H3753","כַּרְכָּרָה","swift beast.","a dromedary (from its rapid motion as if dancing)","from H3769 (כָּרַר);"
"H3754","כֶּרֶם","vines, (increase of the) vineyard(-s), vintage. See also H1021 (בֵּית הַכֶּרֶם).","a garden or vineyard","from an unused root of uncertain meaning;"
"H3755","כֹּרֵם","vine dresser (as one or two words).","a vinedresser","active participle of an imaginary denominative from H3754 (כֶּרֶם);"
"H3756","כַּרְמִי","Carmi.","Karmi, the name of three Israelites","from H3754 (כֶּרֶם); gardener;"
"H3757","כַּרְמִי","Carmites.","a Karmite or descendant of Karmi","patronymically from H3756 (כַּרְמִי);"
"H3758","כַּרְמִיל","crimson.","carmine, a deep red","probably of foreign origin;"
"H3759","כַּרְמֶל","full (green) ears (of corn), fruitful field (place), plentiful (field).","a planted field (garden, orchard, vineyard or park); by implication, garden produce","from H3754 (כֶּרֶם);"
"H3760","כַּרְמֶל","Carmel, fruitful (plentiful) field, (place).","Karmel, the name of a hill and of a town in Palestine","the same as H3759 (כַּרְמֶל);"
"H3761","כַּרְמְלִי","Carmelite.","a Karmelite or inhabitant of Karmel (the town)","patron from H3760 (כַּרְמֶל);"
"H3762","כַּרְמְלִית","Carmelitess.","a Karmelitess or female inhabitant of Karmel","feminine of H3761 (כַּרְמְלִי);"
"H3763","כְּרָן","Cheran.","Keran, an aboriginal Idumaean","of uncertain derivation;"
"H3764","כׇּרְסֵא","throne.","a throne","(Aramaic) corresponding to H3678 (כִּסֵּא);"
"H3765","כִּרְסֵם","waste.","to lay waste","from H3697 (כָּסַם);"
"H3766","כָּרַע","bow (down, self), bring down (low), cast down, couch, fall, feeble, kneeling, sink, smite (stoop) down, subdue, [idiom] very.","to bend the knee; by implication, to sink, to prostrate","a primitive root;"
"H3767","כָּרָע","leg.","the leg (from the knee to the ankle) of men or locusts (only in the dual)","from H3766 (כָּרַע);"
"H3768","כַּרְפַּס","green.","byssus or fine vegetable wool","of foreign origin;"
"H3769","כָּרַר","dance(-ing).","to dance (i.e. whirl)","a primitive root;"
"H3770","כְּרֵשׂ","belly.","the paunch or belly (as swelling out)","by variation from H7164 (קָרַס);"
"H3771","כַּרְשְׁנָא","Carshena.","Karshena, a courtier of Xerxes","of foreign origin;"
"H3772","כָּרַת","be chewed, be con-(feder-) ate, covenant, cut (down, off), destroy, fail, feller, be freed, hew (down), make a league (covenant), [idiom] lose, perish, [idiom] utterly, [idiom] want.","to cut (off, down or asunder); by implication, to destroy or consume; specifically, to covenant (i.e. make an alliance or bargain, originally by cutting flesh and passing between the pieces)","a primitive root;"
"H3773","כָּרֻתָה","beam.","something cut, i.e. a hewn timber","passive participle feminine of H3772 (כָּרַת);"
"H3774","כְּרֵתִי","Cherethims, Cherethites.","a Kerethite or life-guardsman","probably from H3772 (כָּרַת) in the sense of executioner; (compare H2876 (טַבָּח)) (only collectively in the singular as plural)"
"H3775","כֶּשֶׂב","lamb.","a young sheep","apparently by transposition for H3532 (כֶּבֶשׂ);"
"H3776","כִּשְׂבָּה","lamb.","a young ewe","feminine of H3775 (כֶּשֶׂב);"
"H3777","כֶּשֶׂד","Chesed.","Kesed, a relative of Abraham","from an unused root of uncertain meaning;"
"H3778","כַּשְׂדִּי","Chaldeans, Chaldees, inhabitants of Chaldea.","a Kasdite, or descendant of Kesed; by implication, a Chaldaean (as if so descended); also an astrologer (as if proverbial of that people","(occasionally with enclitic) כַּשְׂדִּימָה; towards the Kasdites into Chaldea), patronymically from H3777 (כֶּשֶׂד) (only in the plural);"
"H3779","כַּשְׂדַּי","Chaldean.","a Chaldaean or inhabitant of Chaldaea; by implication, a Magian or professional astrologer","(Aramaic) corresponding to H3778 (כַּשְׂדִּי);"
"H3780","כָּשָׂה","be covered. Compare H3680 (כָּסָה).","to grow fat (i.e. be covered with flesh)","a primitive root;"
"H3781","כַּשִּׁיל","ax.","properly, a feller, i.e. an axe","from H3782 (כָּשַׁל);"
"H3782","כָּשַׁל","bereave (from the margin), cast down, be decayed, (cause to) fail, (cause, make to) fall (down, -ing), feeble, be (the) ruin(-ed, of), (be) overthrown, (cause to) stumble, [idiom] utterly, be weak.","to totter or waver (through weakness of the legs, especially the ankle); by implication, to falter, stumble, faint or fall","a primitive root;"
"H3783","כִּשָּׁלוֹן","fall.","properly, a tottering, i.e. ruin","from H3782 (כָּשַׁל);"
"H3784","כָּשַׁף","sorcerer, (use) witch(-craft).","properly, to whisper aspell, i.e. to inchant or practise magic","a primitive root;"
"H3785","כֶּשֶׁף","sorcery, witchcraft.","magic","from H3784 (כָּשַׁף);"
